Order ID,Product,Quantity,Price,Order Date,Address,City,State,Postal Code,Payment
100001,Kindle Paperwhite,7,127899.18,01-01-2023,123 Main St,Delhi,UP,668196,PhonePe
100002,AirPods,5,41871.32,01-01-2023,123 Main St,Mumbai,UP,845974,Cash
100003,Sony Headphones,2,13858.28,01-01-2023,123 Main St,Pune,WB,362315,Apple Pay
100004,USB-C Cable,4,41000.52,01-01-2023,123 Main St,Chennai,KA,488884,PayPal
100005,Apple Watch,7,91226.11,01-01-2023,123 Main St,Chennai,RJ,790923,Google Pay
100006,Flatscreen TV,1,106757.19,02-01-2023,123 Main St,Ahmedabad,PB,607452,Net Banking
100007,Washing Machine,1,17830.75,02-01-2023,123 Main St,Delhi,UP,237101,Apple Pay
100008,Nintendo Switch,1,85737.01,02-01-2023,123 Main St,Jaipur,BR,209348,PhonePe
100009,Kindle Paperwhite,1,93194.63,02-01-2023,123 Main St,Kolkata,TG,883431,PhonePe
100010,PlayStation 5,1,96475.32,02-01-2023,123 Main St,Hyderabad,KA,569379,Google Pay
100011,Nintendo Switch,1,136241.64,03-01-2023,123 Main St,Kolkata,RJ,627728,PhonePe
100012,Macbook Pro,1,26536.71,03-01-2023,123 Main St,Surat,BR,630187,Google Pay
100013,Nintendo Switch,1,144838,03-01-2023,123 Main St,Chennai,BR,178197,PayPal
100014,Washing Machine,1,41820.18,03-01-2023,123 Main St,Kolkata,TN,576164,Apple Pay
100015,Sony Headphones,1,96099.26,03-01-2023,123 Main St,Jaipur,BR,145900,Net Banking
100016,Macbook Pro,1,90762.43,04-01-2023,123 Main St,Bengaluru,PB,258571,Google Pay
100017,Samsung Galaxy S23,1,101635.14,04-01-2023,123 Main St,Pune,GJ,350786,Google Pay
100018,iPad Air,1,37313.95,04-01-2023,123 Main St,Jaipur,MP,627195,PayPal
100019,Washing Machine,1,34578.45,04-01-2023,123 Main St,Pune,WB,927551,Cash
100020,Nintendo Switch,1,137553.56,04-01-2023,123 Main St,Delhi,KA,685061,UPI
100021,Bluetooth Speaker,1,72394.17,05-01-2023,123 Main St,Mumbai,UP,162287,PayPal
100022,Washing Machine,9,125828.83,05-01-2023,123 Main St,Delhi,TG,486509,Net Banking
100023,Washing Machine,1,69268.53,05-01-2023,123 Main St,Kolkata,WB,931762,Net Banking
100024,Washing Machine,4,121033.65,05-01-2023,123 Main St,Jaipur,MP,268601,Bank Transfer
100025,iPad Air,1,63748.57,06-01-2023,123 Main St,Surat,DL,236996,Cash
100026,Samsung Galaxy S23,4,26855.45,06-01-2023,123 Main St,Hyderabad,DL,450593,PayPal
100027,Sony Headphones,9,94598.71,06-01-2023,123 Main St,Jaipur,WB,842415,PhonePe
